long:, 135.482 , lat:, 34.5524 , humid:, 48 , tempe:, 18 , time:, 2018-02-28 11:14:02.1834
long:, 135.482 , lat:, 34.5524 , humid:, 43 , tempe:, 20 , time:, 2018-02-28 11:15:06.572695
long:, 135.482 , lat:, 34.5524 , humid:, 43 , tempe:, 20 , time:, 2018-02-28 11:15:11.60818
